model,DeepSeek-R1,DeepSeek-V3,DeepSeek-V3-0324,Llama-3.3-70B-Instruct-Turbo,Llama-4-Maverick-17B,Llama-4-Scout-17B,Qwen2.5-VL-7B-Instruct,Qwen3-235B-A22B-FP8,claude-3-5-haiku-20241022,claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219,claude-3-haiku-20240307,gemini-2.0-flash,gemini-2.0-flash-lite,gemini-2.0-flash-thinking-exp,gemini-2.0-pro-exp,gemini-2.5-flash-preview-04-17,gemini-2.5-pro-preview-03-25,gemma-3-12b-it,gemma-3-1b-it,gemma-3-27b-it,gemma-3-4b-it,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4o,gpt-4o-mini,grok-2-latest,grok-3-fast-latest,grok-3-latest,grok-3-mini-fast-latest,grok-3-mini-latest,o1-mini,o3,o3-mini,o4-mini
DeepSeek-R1,1.0,0.8158535112041843,0.9209659114634625,0.7887666695536688,0.5936190793494712,0.8490548632825877,0.4752334364419367,0.800719928987874,0.7642827442577087,0.9361999923227523,0.932121945875696,0.6516178832952259,0.8728366743539456,0.5911989152628438,0.6509842980440852,0.9138241472706289,0.6628481902243536,0.8996186342701974,0.7899880049084519,0.27134173751394386,0.5887772584081041,0.7389011436600368,0.8547681234943213,0.7695097555707159,0.7761222418011223,0.8924374558185758,0.6107652259428801,0.7857421008401853,0.850077703349347,0.8561549117256101,0.7351675560237917,0.6977198168726675,0.8156464949774439,0.851454621764694,0.8206741869989811,0.880257306849702
DeepSeek-V3,0.8158535112041843,1.0,0.9758476618903238,0.9581133811201364,0.8999972294248193,0.9821908440962799,0.8918777308962369,0.995362019081613,0.9955621098487101,0.9405305018923169,0.9188308526999798,0.7462388890373133,0.9629735055138252,0.9439521809100943,0.9220038105041032,0.9802086006971495,0.8967440719307247,0.9844663869131469,0.9757544189825181,-0.18780779729758923,0.9474482197015249,0.9902889201447818,0.937327765133822,0.9756777661493858,0.9975933470956571,0.9819382752663944,0.9502307615411301,0.9976127151820744,0.9905227680595649,0.9918895023823625,0.987416453676505,0.9775423817138569,0.8503507926919999,0.9945201364265372,0.9915815960042282,0.9782716224915634
DeepSeek-V3-0324,0.9209659114634625,0.9758476618903238,1.0,0.9472365773340871,0.8136000109408543,0.9706115312578394,0.7721378273526024,0.9702510482530653,0.9551142252588165,0.9866823973122009,0.9727244717790984,0.7219510909278997,0.964748966843706,0.8582278601060397,0.8503371922563291,0.9996581328822061,0.8350878646940709,0.994842220269694,0.95726553969572,-0.0028593170454932,0.8548151492459736,0.9382086396225019,0.9587800590270759,0.949427193066858,0.9586188921034648,0.9958125201187807,0.8701548795100866,0.9646509515851316,0.9861809680044167,0.9887354952159069,0.9338905066418797,0.9126108001437118,0.8591009495525003,0.9880894951235636,0.9676963125317007,0.9903789120915228
Llama-3.3-70B-Instruct-Turbo,0.7887666695536688,0.9581133811201364,0.9472365773340871,1.0,0.7558187805369744,0.8937682688311045,0.8152861564477004,0.9803755716755256,0.9655773553328728,0.9543752391821464,0.9520152725671409,0.5266008376961719,0.860539880235022,0.9335075761221155,0.7824277853113032,0.9460509676604538,0.7357568476958343,0.9295697890732579,0.9973060818779412,0.015732887801674186,0.8954165289563942,0.9269577283752338,0.9891655189711344,0.9955841181165401,0.9483475089468383,0.9725583140667696,0.9433063383031731,0.9692370325771436,0.9832904298666709,0.9793305297905855,0.9156973547551335,0.8998874030146916,0.679357391799143,0.9761099216524423,0.9137008930219265,0.9822509769586422
Llama-4-Maverick-17B,0.5936190793494712,0.8999972294248193,0.8136000109408543,0.7558187805369744,1.0,0.9249462112864492,0.9516919673164337,0.8665306799992152,0.9000754424029158,0.7126643051532223,0.6644680241087011,0.892913388745726,0.9108409357860099,0.8832386386599994,0.997301041089901,0.8285197494346923,0.9901851304335144,0.8653074033856402,0.8016564857966744,-0.5836054731156636,0.9408521684907435,0.9460676526375323,0.6929606422679657,0.8117117812323168,0.9221362116202809,0.8076387515116088,0.8784182317125021,0.8919858367241669,0.8316356053290702,0.8375731155510435,0.9547861570862197,0.9655018900102769,0.8884561875240057,0.8498949499823242,0.9337675838296915,0.7912625437462995
Llama-4-Scout-17B,0.8490548632825877,0.9821908440962799,0.9706115312578394,0.8937682688311045,0.9249462112864492,1.0,0.8599527134158548,0.9601199300919518,0.96347683828961,0.9185898802578478,0.8885198772225564,0.8507168149741908,0.995990739016988,0.8822010756811939,0.9494205680358825,0.9763978416634832,0.9429062085144946,0.9899636982995829,0.920609887476956,-0.23397770081282634,0.9092615420330519,0.9748261147549916,0.8808753683158952,0.9183376108868927,0.9783643900641558,0.9598986148065988,0.8883785283561652,0.9675628133528794,0.9591878288516229,0.9644089320255705,0.9768079218104578,0.9662922401029639,0.9339852119752583,0.9693164239836545,0.99717756886681,0.9470808299288318
Qwen2.5-VL-7B-Instruct,0.4752334364419367,0.8918777308962369,0.7721378273526024,0.8152861564477004,0.9516919673164337,0.8599527134158548,1.0,0.8851556194335702,0.9188449560479208,0.6908165302604314,0.653668988178169,0.711593498884545,0.8195049865263304,0.9633417508281882,0.9396290841164842,0.786230062021947,0.9021736100987143,0.8117273833263849,0.8489571021409316,-0.5652471504684825,0.9875464101895276,0.9437619684532994,0.7310955435721254,0.8648027132430426,0.9209965602174573,0.7944964227861445,0.9565994087808695,0.9052101887895093,0.8379439054700769,0.8376416705874499,0.9457586531623193,0.9615087905920879,0.7235040524934758,0.8474720504653122,0.890692314763991,0.7926159576881555
Qwen3-235B-A22B-FP8,0.800719928987874,0.995362019081613,0.9702510482530653,0.9803755716755256,0.8665306799992152,0.9601199300919518,0.8851556194335702,1.0,0.9967629398535749,0.9467824773259335,0.9306922882867005,0.679022638207107,0.9345005234390739,0.9564716311911884,0.8886408411575858,0.9732640821872093,0.8547739904934809,0.9714581362220062,0.9920238336273542,-0.139904262469819,0.9465273680396658,0.9813282939161068,0.9592806376076014,0.9922402987710173,0.9920564819147004,0.9840978010020971,0.9633752847917811,0.9985523099053322,0.9954875365879889,0.9949105132006187,0.975725609055203,0.9650100980135952,0.7968619455984401,0.9959194631873224,0.9745411314792957,0.9851707022069275
claude-3-5-haiku-20241022,0.7642827442577087,0.9955621098487101,0.9551142252588165,0.9655773553328728,0.9000754424029158,0.96347683828961,0.9188449560479208,0.9967629398535749,1.0,0.9198648897320534,0.8991290713653928,0.7073522903549945,0.9362519853350011,0.97053551082006,0.9170620914839984,0.9601912025020456,0.8836565560928193,0.9638259619582287,0.9820246750723275,-0.21882461697916566,0.9683448534571814,0.9926220765993701,0.9341264722841978,0.9846868596809358,0.9975462882381565,0.9691222054858432,0.9752557416480226,0.9994025526133878,0.9852998703875416,0.9851131249600995,0.9886430781683743,0.9821369980966883,0.8076436977824066,0.9878435827058557,0.9798137462226411,0.9688735082082043
claude-3-5-sonnet-20241022,0.9361999923227523,0.9405305018923169,0.9866823973122009,0.9543752391821464,0.7126643051532223,0.9185898802578478,0.6908165302604314,0.9467824773259335,0.9198648897320534,1.0,0.9974768242846553,0.6086504318007904,0.9109483250717441,0.8174054446722625,0.7561092705423016,0.9822644291171828,0.7347029410868356,0.9650960692725782,0.9525980006725344,0.15100669265112976,0.7929600313948925,0.8841690580743502,0.9811623815757138,0.9414783427002377,0.9151543309929563,0.9877454493881429,0.8327140723287614,0.9325595495568347,0.9730461446595371,0.9735772951502857,0.87562218235499,0.848018505107109,0.7776474706165131,0.9691994527261683,0.9163173983793558,0.9877852730404008
claude-3-7-sonnet-20250219,0.932121945875696,0.9188308526999798,0.9727244717790984,0.9520152725671409,0.6644680241087011,0.8885198772225564,0.653668988178169,0.9306922882867005,0.8991290713653928,0.9974768242846553,1.0,0.552255263075263,0.8794347629602466,0.7969185101572922,0.7100804781709782,0.9666374929823599,0.6854138144000933,0.944183148006148,0.945037915927011,0.21374984842685238,0.7630238907563092,0.8553492176377313,0.9842565760359481,0.9328185742275568,0.8904921498461861,0.9767658235240009,0.8134499797041916,0.912868183037651,0.9606561581853256,0.9601688580568566,0.8449291437279068,0.8150730425512274,0.733590421145116,0.9542148869356087,0.8871674450378948,0.9794803141039465
claude-3-haiku-20240307,0.6516178832952259,0.7462388890373133,0.7219510909278997,0.5266008376961719,0.892913388745726,0.8507168149741908,0.711593498884545,0.679022638207107,0.7073522903549945,0.6086504318007904,0.552255263075263,1.0,0.8776159363267467,0.6054774086055915,0.9035382724776585,0.7357134995736733,0.942386510272323,0.7832998894721294,0.5827419783927547,-0.5174238883755664,0.7029674462333649,0.7772971695209818,0.5047774805234326,0.5828830272615092,0.7550068648187082,0.6755136128627156,0.6039720556410562,0.7084655152004503,0.6673862166840676,0.681467658216573,0.7945793932950961,0.796689590049209,0.9691362063949882,0.6954928494551481,0.8260624002764192,0.640618291067753
