persona,model,Q1reason,Q2reason,Q3reason,Q4reason
p1,DeepSeek-R1,94.86666666666666,90.26666666666667,77.23333333333333,82.06666666666666
p1,DeepSeek-V3,92.96666666666667,82.63333333333334,80.3,82.86666666666666
p1,DeepSeek-V3-0324,82.43333333333334,81.0,66.96666666666667,75.86666666666666
p1,Llama-3.3-70B-Instruct-Turbo,127.63333333333334,129.2,118.13333333333334,134.43333333333334
p1,Llama-4-Maverick-17B,140.33333333333334,131.63333333333333,120.93333333333334,152.93333333333334
p1,Llama-4-Scout-17B,88.36666666666666,75.2,63.06666666666667,76.53333333333333
p1,Qwen2.5-VL-7B-Instruct,152.33333333333334,66.0,82.53333333333333,80.1
p1,Qwen3-235B-A22B-FP8,134.33333333333334,124.5,97.66666666666667,69.93333333333334
p1,claude-3-5-haiku-20241022,119.2,102.66666666666667,90.9,104.0
p1,claude-3-5-sonnet-20241022,90.03333333333333,91.2,81.1,94.13333333333334
p1,claude-3-7-sonnet-20250219,162.36666666666667,146.96666666666667,149.36666666666667,161.83333333333334
p1,claude-3-haiku-20240307,125.33333333333333,114.96666666666667,117.1,136.2
p1,gemini-2.0-flash,108.93333333333334,105.43333333333334,114.06666666666666,114.23333333333333
p1,gemini-2.0-flash-lite,118.56666666666666,97.16666666666667,92.56666666666666,92.13333333333334
p1,gemini-2.0-flash-thinking-exp,128.46666666666667,135.83333333333334,111.23333333333333,132.93333333333334
p1,gemini-2.0-pro-exp,158.42307692307693,161.46153846153845,150.53846153846155,165.34615384615384
p1,gemini-2.5-flash-preview-04-17,133.16666666666666,131.56666666666666,111.76666666666667,131.66666666666666
p1,gemini-2.5-pro-preview-03-25,150.7,162.26666666666668,156.36666666666667,169.4
p1,gemma-3-12b-it,130.93333333333334,127.73333333333333,120.43333333333334,126.8
p1,gemma-3-1b-it,110.66666666666667,130.56666666666666,120.5,100.73333333333333
p1,gemma-3-27b-it,103.36666666666666,100.93333333333334,98.43333333333334,100.53333333333333
p1,gemma-3-4b-it,143.5,135.7,111.06666666666666,115.23333333333333
