model,DeepSeek-R1,DeepSeek-V3,DeepSeek-V3-0324,Llama-3.3-70B-Instruct-Turbo,Llama-4-Maverick-17B,Llama-4-Scout-17B,Qwen2.5-VL-7B-Instruct,Qwen3-235B-A22B-FP8,claude-3-5-haiku-20241022,claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219,claude-3-haiku-20240307,gemini-2.0-flash,gemini-2.0-flash-lite,gemini-2.0-flash-thinking-exp,gemini-2.0-pro-exp,gemini-2.5-flash-preview-04-17,gemini-2.5-pro-preview-03-25,gemma-3-12b-it,gemma-3-1b-it,gemma-3-27b-it,gemma-3-4b-it,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4o,gpt-4o-mini,grok-2-latest,grok-3-fast-latest,grok-3-latest,grok-3-mini-fast-latest,grok-3-mini-latest,o1-mini,o3,o3-mini,o4-mini
DeepSeek-R1,1.0,0.9002000634983263,0.9384381556545132,0.010279306621672262,0.14558939563090897,0.7991213357038496,0.5375968245449756,0.8248155284926718,0.8457258227555082,0.18097483274020643,0.15769824467924842,-0.10459494219283856,-0.9163005151624402,0.6504508882701197,0.46398892032050726,0.33172639283368777,0.2580928878771554,-0.48674970394573847,0.5585515096047118,-0.409785962956289,0.09035026761585102,0.9537250516871274,0.9237115092582211,0.9685604852207714,0.8557789716967096,0.6550677698968528,0.16441068256473637,0.9241395950506603,0.7046529866887568,0.7588083617836902,0.8824736397877967,0.8866848929576082,0.8848130373823362,0.9657472775336557,-0.37187028282795476,0.9820099729651637
DeepSeek-V3,0.9002000634983263,1.0,0.7599171718397406,0.0031977488322384585,0.345077248601544,0.8776430178942801,0.8500756534436168,0.7267180706619336,0.9716981927964833,0.2547902210975819,0.4454350502046346,0.17730716818759937,-0.7519896397768224,0.877709685920096,0.3539892558350073,0.21567174657238747,0.16156896805836324,-0.5579190247404109,0.16824378039402227,-0.7635295260413989,0.5117994718228837,0.9762466260544275,0.9314010495356345,0.9555456411835868,0.9576630049941127,0.8122189283205133,0.5760771481011691,0.9982503636759105,0.9311594110100655,0.9631834521513155,0.9703276004706188,0.9584994805621992,0.9230064892573827,0.921836146817267,-0.11285354479708795,0.9099256412177918
DeepSeek-V3-0324,0.9384381556545132,0.7599171718397406,1.0,0.29754404174376575,0.28576458491186807,0.8156835056307188,0.32236190825202804,0.6201622650542388,0.7641635888666457,0.4027080595228486,0.2117402511363047,0.0013872268198988796,-0.7887133823287663,0.3781036205064346,0.7131289366845247,0.6119618912710789,0.5455130894685642,-0.16670330163199762,0.7630758667292693,-0.23763814545995685,-0.07324720161849593,0.8047644700282272,0.7346284711635647,0.9165956711340801,0.8012933094886218,0.6739088595660162,-0.013973358427353828,0.7905382011016048,0.5846631296645678,0.6159560134574401,0.6807041537391667,0.6805574588215458,0.8776479690645987,0.9483631898816255,-0.22696421290458005,0.9610702206579278
Llama-3.3-70B-Instruct-Turbo,0.010279306621672262,0.0031977488322384585,0.29754404174376575,1.0,0.8531809491848509,0.4819511427446775,-0.07029262219926503,-0.5551725998233706,0.2285886834790697,0.9593741443775518,0.6914605824775757,0.765039326693643,0.35206421897728646,-0.35863571790237264,0.8803556128096415,0.9298664112447517,0.9571257659326821,0.8278292414863851,0.32907430202746313,-0.09566203472666472,0.10847277162427661,-0.12566958242219411,-0.30049731668364527,0.16535916198857417,0.29029994455244,0.5561135987944031,0.06970802636023526,-0.003775132305659562,0.1948509301126722,0.10124697199252404,-0.23742266051404917,-0.27574980842599917,0.36931799844482777,0.2380313007258556,0.7648973877061046,0.188442590619607
Llama-4-Maverick-17B,0.14558939563090897,0.345077248601544,0.28576458491186807,0.8531809491848509,1.0,0.7061370717419932,0.4363938507668614,-0.38220757471819744,0.5551575333057273,0.9548440331732458,0.9661847326104146,0.9564962534023279,0.2612580002557149,0.11871366523053976,0.7458556842960014,0.7480279202341633,0.7754494933878543,0.505926631153856,-0.027757221859803914,-0.5943878003289687,0.6031165386430938,0.1585727555119397,-0.016277630857925395,0.3711624184028744,0.5828429024694047,0.8243994632828899,0.5771904456201088,0.31542899725830065,0.6068304655897828,0.514516583285388,0.12015985722511927,0.0697661733797599,0.5843974901010028,0.3971469634470586,0.862532045777625,0.32609427742554425
Llama-4-Scout-17B,0.7991213357038496,0.8776430178942801,0.8156835056307188,0.4819511427446775,0.7061370717419932,1.0,0.7044662816775812,0.37576382695765925,0.959950435704988,0.6812924680081499,0.714330040688459,0.5140501322274204,-0.4971817361804536,0.5931414981919128,0.7359984885658888,0.6383036686282555,0.6032330310936738,-0.09187261171534067,0.31686050282153116,-0.706670337066664,0.4895589415241142,0.7972948869300758,0.6745758034030167,0.9195167970526353,0.9778703667609007,0.9757201773822702,0.5277792966575288,0.8735136126357166,0.9052302656122502,0.889194343995525,0.7366670295625742,0.7083808156902067,0.9871058707817586,0.9255904568184442,0.25959216879021874,0.8921916339210112
Qwen2.5-VL-7B-Instruct,0.5375968245449756,0.8500756534436168,0.32236190825202804,-0.07029262219926503,0.4363938507668614,0.7044662816775812,1.0,0.44913907684324855,0.8462881418048938,0.21306523696971066,0.6258143316767087,0.4181756055998124,-0.37526112583980503,0.9366055101974237,0.07043272599869041,-0.04106941249813811,-0.058957082430289534,-0.546044190377738,-0.36571135243121294,-0.9755429560953566,0.871877516731715,0.7484141415122637,0.7090915577195115,0.6720502941832056,0.8032185820212698,0.7460905688123171,0.9096153018269817,0.8184717713044329,0.9392574844091811,0.9421520570920147,0.8295181249740684,0.8041201750084231,0.6965312797201861,0.6057458511883226,0.1787409643096719,0.5664751657029079
Qwen3-235B-A22B-FP8,0.8248155284926718,0.7267180706619336,0.6201622650542388,-0.5551725998233706,-0.38220757471819744,0.37576382695765925,0.44913907684324855,1.0,0.5521781923319656,-0.40037819266684715,-0.28994337992397384,-0.5460899316794647,-0.9671488827517352,0.7130834812369037,-0.10496077975715563,-0.24081105790408394,-0.3185886184648945,-0.8593433922128264,0.31210736294580294,-0.24643897120137734,-0.029745816814992953,0.8511822420332622,0.9267167194070647,0.7027180069074536,0.5280403937229565,0.20775425569217748,0.05388795229814609,0.7528963885527868,0.4452874849902606,0.5447860983181633,0.8491704912856061,0.8758785559381921,0.5137192039860499,0.662526916335377,-0.7629959348997609,0.7067068890757681
claude-3-5-haiku-20241022,0.8457258227555082,0.9716981927964833,0.7641635888666457,0.2285886834790697,0.5551575333057273,0.959950435704988,0.8462881418048938,0.5521781923319656,1.0,0.4726929633874511,0.6285977277807384,0.38831616071737346,-0.6116389081808357,0.7935276318360746,0.5197668658843009,0.39794083166729605,0.3556201464581441,-0.3565768483833644,0.17210623539608352,-0.8079446331434694,0.5814405369752377,0.9073060945970536,0.8224569683879505,0.9477627269254554,0.9966912071810609,0.9270111679592296,0.6324452262558746,0.9642917043020274,0.9699061753121432,0.9756857060249118,0.8868897655731304,0.8643134918188992,0.9712099329081837,0.9270517297055697,0.10752793431582332,0.8998813453184012
claude-3-5-sonnet-20241022,0.18097483274020643,0.2547902210975819,0.4027080595228486,0.9593741443775518,0.9548440331732458,0.6812924680081499,0.21306523696971066,-0.40037819266684715,0.4726929633874511,1.0,0.8476301751101148,0.856950695304901,0.21899876450737535,-0.0827465129679489,0.892364259556913,0.9073817517192402,0.9272478540068302,0.6503534346191431,0.23936723973723617,-0.36532212072019277,0.34143072676308095,0.10308221106216345,-0.07920013138455488,0.36767788599061396,0.5218087666986664,0.7609959394858166,0.31562774406677774,0.24018396902378977,0.46068050390051085,0.3714009778369102,0.013519360721017271,-0.03062863656204026,0.5713738602465123,0.42095409726250194,0.7855527855063027,0.36241746842044825
