,Q1reason,Q2reason,Q3reason,Q4reason
DeepSeek-R1_maximum,96.72,93.72,79.61,83.67
DeepSeek-R1_minimum,96.72,93.72,79.61,83.67
DeepSeek-R1_mean,96.72,93.72,79.61,83.67
DeepSeek-R1_std_dev,0.0,0.0,0.0,0.0
DeepSeek-R1_median,96.72,93.72,79.61,83.67
DeepSeek-R1_skewness,,,,
DeepSeek-R1_kurtosis,,,,
DeepSeek-V3_maximum,96.98,87.44,80.72,84.64
DeepSeek-V3_minimum,96.98,87.44,80.72,84.64
DeepSeek-V3_mean,96.98,87.44,80.72,84.64
DeepSeek-V3_std_dev,0.0,0.0,0.0,0.0
DeepSeek-V3_median,96.98,87.44,80.72,84.64
DeepSeek-V3_skewness,,,,
DeepSeek-V3_kurtosis,,,,
DeepSeek-V3-0324_maximum,82.44,83.57,72.16,77.86
DeepSeek-V3-0324_minimum,82.44,83.57,72.16,77.86
DeepSeek-V3-0324_mean,82.44,83.57,72.16,77.86
DeepSeek-V3-0324_std_dev,0.0,0.0,0.0,0.0
DeepSeek-V3-0324_median,82.44,83.57,72.16,77.86
DeepSeek-V3-0324_skewness,,,,
DeepSeek-V3-0324_kurtosis,,,,
Llama-3.3-70B-Instruct-Turbo_maximum,118.69,120.63,115.0,127.41
Llama-3.3-70B-Instruct-Turbo_minimum,118.69,120.63,115.0,127.41
Llama-3.3-70B-Instruct-Turbo_mean,118.69,120.63,115.0,127.41
Llama-3.3-70B-Instruct-Turbo_std_dev,0.0,0.0,0.0,0.0
Llama-3.3-70B-Instruct-Turbo_median,118.69,120.63,115.0,127.41
Llama-3.3-70B-Instruct-Turbo_skewness,,,,
Llama-3.3-70B-Instruct-Turbo_kurtosis,,,,
Llama-4-Maverick-17B_maximum,138.6,127.42,121.73,148.56
Llama-4-Maverick-17B_minimum,138.6,127.42,121.73,148.56
Llama-4-Maverick-17B_mean,138.6,127.42,121.73,148.56
Llama-4-Maverick-17B_std_dev,0.0,0.0,0.0,0.0
Llama-4-Maverick-17B_median,138.6,127.42,121.73,148.56
Llama-4-Maverick-17B_skewness,,,,
Llama-4-Maverick-17B_kurtosis,,,,
Llama-4-Scout-17B_maximum,98.52,86.25,69.2,89.24
Llama-4-Scout-17B_minimum,98.52,86.25,69.2,89.24
Llama-4-Scout-17B_mean,98.52,86.25,69.2,89.24
Llama-4-Scout-17B_std_dev,0.0,0.0,0.0,0.0
Llama-4-Scout-17B_median,98.52,86.25,69.2,89.24
Llama-4-Scout-17B_skewness,,,,
Llama-4-Scout-17B_kurtosis,,,,
Qwen2.5-VL-7B-Instruct_maximum,145.58,67.32,77.25,89.09
Qwen2.5-VL-7B-Instruct_minimum,145.58,67.32,77.25,89.09
Qwen2.5-VL-7B-Instruct_mean,145.58,67.32,77.25,89.09
Qwen2.5-VL-7B-Instruct_std_dev,0.0,0.0,0.0,0.0
Qwen2.5-VL-7B-Instruct_median,145.58,67.32,77.25,89.09
Qwen2.5-VL-7B-Instruct_skewness,,,,
Qwen2.5-VL-7B-Instruct_kurtosis,,,,
Qwen3-235B-A22B-FP8_maximum,131.18,120.48,97.22,72.78
Qwen3-235B-A22B-FP8_minimum,131.18,120.48,97.22,72.78
Qwen3-235B-A22B-FP8_mean,131.18,120.48,97.22,72.78
Qwen3-235B-A22B-FP8_std_dev,0.0,0.0,0.0,0.0
Qwen3-235B-A22B-FP8_median,131.18,120.48,97.22,72.78
Qwen3-235B-A22B-FP8_skewness,,,,
Qwen3-235B-A22B-FP8_kurtosis,,,,
claude-3-5-haiku-20241022_maximum,109.84,94.52,83.01,95.01
claude-3-5-haiku-20241022_minimum,109.84,94.52,83.01,95.01
claude-3-5-haiku-20241022_mean,109.84,94.52,83.01,95.01
claude-3-5-haiku-20241022_std_dev,0.0,0.0,0.0,0.0
claude-3-5-haiku-20241022_median,109.84,94.52,83.01,95.01
claude-3-5-haiku-20241022_skewness,,,,
claude-3-5-haiku-20241022_kurtosis,,,,
claude-3-5-sonnet-20241022_maximum,91.42,89.82,83.04,99.08
claude-3-5-sonnet-20241022_minimum,91.42,89.82,83.04,99.08
claude-3-5-sonnet-20241022_mean,91.42,89.82,83.04,99.08
claude-3-5-sonnet-20241022_std_dev,0.0,0.0,0.0,0.0
claude-3-5-sonnet-20241022_median,91.42,89.82,83.04,99.08
claude-3-5-sonnet-20241022_skewness,,,,
claude-3-5-sonnet-20241022_kurtosis,,,,
claude-3-7-sonnet-20250219_maximum,157.32,147.85,147.53,159.81
claude-3-7-sonnet-20250219_minimum,157.32,147.85,147.53,159.81
claude-3-7-sonnet-20250219_mean,157.32,147.85,147.53,159.81
claude-3-7-sonnet-20250219_std_dev,0.0,0.0,0.0,0.0
claude-3-7-sonnet-20250219_median,157.32,147.85,147.53,159.81
claude-3-7-sonnet-20250219_skewness,,,,
claude-3-7-sonnet-20250219_kurtosis,,,,
claude-3-haiku-20240307_maximum,133.66,120.55,123.05,144.64
claude-3-haiku-20240307_minimum,133.66,120.55,123.05,144.64
claude-3-haiku-20240307_mean,133.66,120.55,123.05,144.64
claude-3-haiku-20240307_std_dev,0.0,0.0,0.0,0.0
claude-3-haiku-20240307_median,133.66,120.55,123.05,144.64
claude-3-haiku-20240307_skewness,,,,
claude-3-haiku-20240307_kurtosis,,,,
gemini-2.0-flash_maximum,102.32,102.69,111.18,113.84
gemini-2.0-flash_minimum,102.32,102.69,111.18,113.84
gemini-2.0-flash_mean,102.32,102.69,111.18,113.84
gemini-2.0-flash_std_dev,0.0,0.0,0.0,0.0
gemini-2.0-flash_median,102.32,102.69,111.18,113.84
gemini-2.0-flash_skewness,,,,
gemini-2.0-flash_kurtosis,,,,
gemini-2.0-flash-lite_maximum,112.39,95.34,96.72,93.73
gemini-2.0-flash-lite_minimum,112.39,95.34,96.72,93.73
gemini-2.0-flash-lite_mean,112.39,95.34,96.72,93.73
gemini-2.0-flash-lite_std_dev,0.0,0.0,0.0,0.0
gemini-2.0-flash-lite_median,112.39,95.34,96.72,93.73
gemini-2.0-flash-lite_skewness,,,,
gemini-2.0-flash-lite_kurtosis,,,,
gemini-2.0-flash-thinking-exp_maximum,123.87,127.93,111.64,130.94
gemini-2.0-flash-thinking-exp_minimum,123.87,127.93,111.64,130.94
gemini-2.0-flash-thinking-exp_mean,123.87,127.93,111.64,130.94
gemini-2.0-flash-thinking-exp_std_dev,0.0,0.0,0.0,0.0
gemini-2.0-flash-thinking-exp_median,123.87,127.93,111.64,130.94
gemini-2.0-flash-thinking-exp_skewness,,,,
gemini-2.0-flash-thinking-exp_kurtosis,,,,
gemini-2.0-pro-exp_maximum,158.22,162.59,150.48,166.04
gemini-2.0-pro-exp_minimum,158.22,162.59,150.48,166.04
gemini-2.0-pro-exp_mean,158.22,162.59,150.48,166.04
gemini-2.0-pro-exp_std_dev,0.0,0.0,0.0,0.0
gemini-2.0-pro-exp_median,158.22,162.59,150.48,166.04
gemini-2.0-pro-exp_skewness,,,,
gemini-2.0-pro-exp_kurtosis,,,,
gemini-2.5-flash-preview-04-17_maximum,123.08,128.19,114.47,133.86
gemini-2.5-flash-preview-04-17_minimum,123.08,128.19,114.47,133.86
gemini-2.5-flash-preview-04-17_mean,123.08,128.19,114.47,133.86
gemini-2.5-flash-preview-04-17_std_dev,0.0,0.0,0.0,0.0
gemini-2.5-flash-preview-04-17_median,123.08,128.19,114.47,133.86
gemini-2.5-flash-preview-04-17_skewness,,,,
gemini-2.5-flash-preview-04-17_kurtosis,,,,
gemini-2.5-pro-preview-03-25_maximum,144.24,155.42,151.48,167.99
gemini-2.5-pro-preview-03-25_minimum,144.24,155.42,151.48,167.99
gemini-2.5-pro-preview-03-25_mean,144.24,155.42,151.48,167.99
gemini-2.5-pro-preview-03-25_std_dev,0.0,0.0,0.0,0.0
gemini-2.5-pro-preview-03-25_median,144.24,155.42,151.48,167.99
gemini-2.5-pro-preview-03-25_skewness,,,,
gemini-2.5-pro-preview-03-25_kurtosis,,,,
gemma-3-12b-it_maximum,119.0,127.37,116.07,120.02
gemma-3-12b-it_minimum,119.0,127.37,116.07,120.02
gemma-3-12b-it_mean,119.0,127.37,116.07,120.02
gemma-3-12b-it_std_dev,0.0,0.0,0.0,0.0
gemma-3-12b-it_median,119.0,127.37,116.07,120.02
gemma-3-12b-it_skewness,,,,
gemma-3-12b-it_kurtosis,,,,
gemma-3-1b-it_maximum,94.62,112.1,108.89,103.6
gemma-3-1b-it_minimum,94.62,112.1,108.89,103.6
gemma-3-1b-it_mean,94.62,112.1,108.89,103.6
gemma-3-1b-it_std_dev,0.0,0.0,0.0,0.0
gemma-3-1b-it_median,94.62,112.1,108.89,103.6
gemma-3-1b-it_skewness,,,,
gemma-3-1b-it_kurtosis,,,,
gemma-3-27b-it_maximum,101.68,93.39,97.15,99.24
gemma-3-27b-it_minimum,101.68,93.39,97.15,99.24
gemma-3-27b-it_mean,101.68,93.39,97.15,99.24
gemma-3-27b-it_std_dev,0.0,0.0,0.0,0.0
gemma-3-27b-it_median,101.68,93.39,97.15,99.24
gemma-3-27b-it_skewness,,,,
gemma-3-27b-it_kurtosis,,,,
gemma-3-4b-it_maximum,141.27,127.83,113.03,116.05
gemma-3-4b-it_minimum,141.27,127.83,113.03,116.05
gemma-3-4b-it_mean,141.27,127.83,113.03,116.05
gemma-3-4b-it_std_dev,0.0,0.0,0.0,0.0
gemma-3-4b-it_median,141.27,127.83,113.03,116.05
gemma-3-4b-it_skewness,,,,
gemma-3-4b-it_kurtosis,,,,
gpt-4.1_maximum,101.28,94.67,88.22,86.84
gpt-4.1_minimum,101.28,94.67,88.22,86.84
gpt-4.1_mean,101.28,94.67,88.22,86.84
gpt-4.1_std_dev,0.0,0.0,0.0,0.0
gpt-4.1_median,101.28,94.67,88.22,86.84
gpt-4.1_skewness,,,,
gpt-4.1_kurtosis,,,,
gpt-4.1-mini_maximum,90.78,85.82,75.52,81.44
gpt-4.1-mini_minimum,90.78,85.82,75.52,81.44
gpt-4.1-mini_mean,90.78,85.82,75.52,81.44
gpt-4.1-mini_std_dev,0.0,0.0,0.0,0.0
gpt-4.1-mini_median,90.78,85.82,75.52,81.44
gpt-4.1-mini_skewness,,,,
gpt-4.1-mini_kurtosis,,,,
gpt-4.1-nano_maximum,74.22,69.58,65.12,69.68
gpt-4.1-nano_minimum,74.22,69.58,65.12,69.68
gpt-4.1-nano_mean,74.22,69.58,65.12,69.68
gpt-4.1-nano_std_dev,0.0,0.0,0.0,0.0
gpt-4.1-nano_median,74.22,69.58,65.12,69.68
gpt-4.1-nano_skewness,,,,
gpt-4.1-nano_kurtosis,,,,
gpt-4o_maximum,110.39,102.78,96.69,107.36
gpt-4o_minimum,110.39,102.78,96.69,107.36
gpt-4o_mean,110.39,102.78,96.69,107.36
gpt-4o_std_dev,0.0,0.0,0.0,0.0
gpt-4o_median,110.39,102.78,96.69,107.36
gpt-4o_skewness,,,,
gpt-4o_kurtosis,,,,
gpt-4o-mini_maximum,106.72,95.41,100.03,102.57
gpt-4o-mini_minimum,106.72,95.41,100.03,102.57
gpt-4o-mini_mean,106.72,95.41,100.03,102.57
gpt-4o-mini_std_dev,0.0,0.0,0.0,0.0
gpt-4o-mini_median,106.72,95.41,100.03,102.57
gpt-4o-mini_skewness,,,,
gpt-4o-mini_kurtosis,,,,
grok-2-latest_maximum,139.7,127.83,117.69,122.82
grok-2-latest_minimum,139.7,127.83,117.69,122.82
grok-2-latest_mean,139.7,127.83,117.69,122.82
grok-2-latest_std_dev,0.0,0.0,0.0,0.0
grok-2-latest_median,139.7,127.83,117.69,122.82
grok-2-latest_skewness,,,,
grok-2-latest_kurtosis,,,,
grok-3-fast-latest_maximum,159.52,145.07,141.13,149.06
grok-3-fast-latest_minimum,159.52,145.07,141.13,149.06
grok-3-fast-latest_mean,159.52,145.07,141.13,149.06
grok-3-fast-latest_std_dev,0.0,0.0,0.0,0.0
grok-3-fast-latest_median,159.52,145.07,141.13,149.06
grok-3-fast-latest_skewness,,,,
grok-3-fast-latest_kurtosis,,,,
grok-3-latest_maximum,158.68,143.82,139.28,145.88
grok-3-latest_minimum,158.68,143.82,139.28,145.88
grok-3-latest_mean,158.68,143.82,139.28,145.88
grok-3-latest_std_dev,0.0,0.0,0.0,0.0
grok-3-latest_median,158.68,143.82,139.28,145.88
grok-3-latest_skewness,,,,
grok-3-latest_kurtosis,,,,
grok-3-mini-fast-latest_maximum,136.13,128.04,123.75,123.6
grok-3-mini-fast-latest_minimum,136.13,128.04,123.75,123.6
grok-3-mini-fast-latest_mean,136.13,128.04,123.75,123.6
grok-3-mini-fast-latest_std_dev,0.0,0.0,0.0,0.0
grok-3-mini-fast-latest_median,136.13,128.04,123.75,123.6
grok-3-mini-fast-latest_skewness,,,,
grok-3-mini-fast-latest_kurtosis,,,,
grok-3-mini-latest_maximum,135.22,125.75,120.34,119.43
grok-3-mini-latest_minimum,135.22,125.75,120.34,119.43
grok-3-mini-latest_mean,135.22,125.75,120.34,119.43
grok-3-mini-latest_std_dev,0.0,0.0,0.0,0.0
grok-3-mini-latest_median,135.22,125.75,120.34,119.43
grok-3-mini-latest_skewness,,,,
grok-3-mini-latest_kurtosis,,,,
o1-mini_maximum,73.78,70.64,65.32,70.17
o1-mini_minimum,73.78,70.64,65.32,70.17
o1-mini_mean,73.78,70.64,65.32,70.17
o1-mini_std_dev,0.0,0.0,0.0,0.0
o1-mini_median,73.78,70.64,65.32,70.17
o1-mini_skewness,,,,
o1-mini_kurtosis,,,,
o3_maximum,92.44,88.55,76.51,83.8
o3_minimum,92.44,88.55,76.51,83.8
o3_mean,92.44,88.55,76.51,83.8
o3_std_dev,0.0,0.0,0.0,0.0
o3_median,92.44,88.55,76.51,83.8
o3_skewness,,,,
o3_kurtosis,,,,
o3-mini_maximum,114.0,108.82,112.21,123.6
o3-mini_minimum,114.0,108.82,112.21,123.6
o3-mini_mean,114.0,108.82,112.21,123.6
o3-mini_std_dev,0.0,0.0,0.0,0.0
o3-mini_median,114.0,108.82,112.21,123.6
o3-mini_skewness,,,,
o3-mini_kurtosis,,,,
o4-mini_maximum,90.31,86.79,72.42,79.82
o4-mini_minimum,90.31,86.79,72.42,79.82
o4-mini_mean,90.31,86.79,72.42,79.82
o4-mini_std_dev,0.0,0.0,0.0,0.0
o4-mini_median,90.31,86.79,72.42,79.82
o4-mini_skewness,,,,
o4-mini_kurtosis,,,,
