model,temperature,Q1value_mean,Q1value_std,Q1value_median,Q1value_max,Q1value_min,Q1value_skew,Q1value_kurtosis,Q2value_mean,Q2value_std,Q2value_median,Q2value_max,Q2value_min,Q2value_skew,Q2value_kurtosis,Q3value_mean,Q3value_std,Q3value_median,Q3value_max,Q3value_min,Q3value_skew,Q3value_kurtosis,Q4value_mean,Q4value_std,Q4value_median,Q4value_max,Q4value_min,Q4value_skew,Q4value_kurtosis
Qwen2.5-VL-7B-Instruct,0.7,85.0,0.0,85.0,85.0,85.0,0.0,0.0,36.666666666666664,23.973165074269208,20.0,70.0,20.0,0.7448804862362222,-1.5535714285714282,13.10344827586207,4.708236154307584,10.0,20.0,10.0,0.8653079286064875,-1.3494776828110169,18.620689655172413,28.249416925845498,0.0,60.0,0.0,0.8653079286064885,-1.349477682811015
Qwen2.5-VL-7B-Instruct,0.4,85.0,0.0,85.0,85.0,85.0,0.0,0.0,36.666666666666664,23.973165074269208,20.0,70.0,20.0,0.7448804862362222,-1.5535714285714282,13.333333333333334,4.794633014853841,10.0,20.0,10.0,0.744880486236222,-1.5535714285714266,20.0,28.767798089123048,0.0,60.0,0.0,0.7448804862362217,-1.5535714285714286
Qwen2.5-VL-7B-Instruct,0.9,85.0,0.0,85.0,85.0,85.0,0.0,0.0,36.333333333333336,24.280449540423618,20.0,70.0,10.0,0.7240912319032393,-1.5456058632277905,9.5,2.23606797749979,10.0,10.0,0.0,-4.47213595499958,20.0,10.0,14.383899044561524,0.0,30.0,0.0,0.7448804862362217,-1.5535714285714286
Qwen2.5-VL-7B-Instruct,0.1,85.0,0.0,85.0,85.0,85.0,0.0,0.0,35.333333333333336,25.152408993194257,20.0,70.0,10.0,0.6823847873618231,-1.538241743848025,13.333333333333334,4.794633014853841,10.0,20.0,10.0,0.744880486236222,-1.5535714285714266,21.333333333333332,28.00656737431337,0.0,60.0,0.0,0.7012315599890256,-1.5630145890758038
Qwen3-235B-A22B-FP8,0.7,81.19047619047619,6.500915686417166,85.0,95.0,70.0,-0.18689275687638598,-0.518581317407782,67.52380952380952,19.033179050329576,70.0,90.0,30.0,-0.47109881626914646,-0.859841086302584,29.5,30.474320509673646,12.5,90.0,10.0,1.2800356816161669,-0.20503530266875325,25.0,17.224014243685083,25.0,65.0,5.0,0.8163599371003735,0.5519928247487895
Qwen3-235B-A22B-FP8,0.4,78.46153846153847,15.477030126560509,85.0,90.0,20.0,-2.9310844916066183,8.96444653312356,70.96153846153847,15.23280872125891,70.0,90.0,50.0,0.03210027123104581,-1.4779978576093655,39.42307692307692,32.444627385036284,20.0,90.0,10.0,0.6225724266547352,-1.5444541788603432,30.789473684210527,19.095022467672973,25.0,65.0,10.0,0.7542143861063942,-0.552232684259478
Qwen3-235B-A22B-FP8,0.9,80.66666666666667,12.250588682872472,85.0,95.0,30.0,-2.9043677977665685,11.138689013585275,71.14814814814815,16.040102876381447,70.0,95.0,40.0,-0.24723682440229547,-0.7470154865813488,35.925925925925924,31.292572141405557,20.0,92.0,5.0,0.9529105631727489,-0.9151768885509064,34.72727272727273,25.666694777068994,30.0,80.0,5.0,0.5622746281678699,-0.9831784180409433
Qwen3-235B-A22B-FP8,0.1,82.2,5.01663898109747,85.0,90.0,75.0,-0.494180403535879,-1.1229744621491347,67.0,19.311050377094112,60.0,95.0,40.0,0.21131120078606744,-1.675447700223022,28.125,26.77655122774727,17.5,85.0,10.0,1.4608294642983504,0.45339391777187066,25.217391304347824,16.61586460349684,25.0,60.0,5.0,0.7478619461754351,-0.4650139741837931
claude-3-5-haiku-20241022,0.7,74.83333333333333,6.883680517809086,70.0,85.0,65.0,0.6583325348908159,-1.3437923230285014,60.666666666666664,8.583598366625747,60.0,75.0,50.0,0.08574669077640555,-1.292849997931274,25.666666666666668,14.064710873459966,20.0,50.0,10.0,0.6110805227169273,-1.0708923460587045,25.0,11.962585350828727,30.0,50.0,10.0,-0.06474575983589362,-1.0406422016234762
claude-3-5-haiku-20241022,0.4,75.0,7.191949522280762,70.0,85.0,70.0,0.7448804862362217,-1.5535714285714286,61.5,10.99764865151042,60.0,80.0,40.0,0.04832979478395706,-1.2018173536282832,29.0,18.448436995751344,20.0,80.0,10.0,0.9687726081969924,0.10111524112688164,27.666666666666668,13.565507307349296,30.0,50.0,10.0,-0.3442772352928993,-1.4863496296790057
