model,temperature,mean_similarity,std_similarity,diversity_score
Qwen2.5-VL-7B-Instruct,0.7,0.2977196841100801,0.4332086673805233,0.7022803158899199
Qwen2.5-VL-7B-Instruct,0.4,0.31589196764535815,0.44819588777825964,0.6841080323546418
Qwen2.5-VL-7B-Instruct,0.9,0.24383042118219458,0.40223841032535046,0.7561695788178054
Qwen2.5-VL-7B-Instruct,0.1,0.2585335902868841,0.4134169986606733,0.7414664097131158
Qwen3-235B-A22B-FP8,0.7,0.02393719382120555,0.04123564491629036,0.9760628061787945
Qwen3-235B-A22B-FP8,0.4,0.02399374809486617,0.04000363860985891,0.9760062519051338
Qwen3-235B-A22B-FP8,0.9,0.016129297840567082,0.02585015575169865,0.983870702159433
Qwen3-235B-A22B-FP8,0.1,0.022254412955029404,0.03858487988670956,0.9777455870449706
claude-3-5-haiku-20241022,0.7,0.031041898858005793,0.046926043743839685,0.9689581011419942
claude-3-5-haiku-20241022,0.4,0.03639995245282667,0.05900860756211349,0.9636000475471733
claude-3-5-haiku-20241022,0.9,0.01972431922642595,0.03472249609474238,0.9802756807735741
claude-3-5-haiku-20241022,0.1,0.058010582518110636,0.11391569638088428,0.9419894174818894
claude-3-5-sonnet-20241022,0.7,0.03896820913228559,0.06332104465996345,0.9610317908677144
claude-3-5-sonnet-20241022,0.4,0.04994520972390475,0.08181806698356127,0.9500547902760953
claude-3-5-sonnet-20241022,0.9,0.03046833959844095,0.05322332711907453,0.969531660401559
claude-3-5-sonnet-20241022,0.1,0.09375291890768861,0.17173262263829575,0.9062470810923113
claude-3-haiku-20240307,0.7,0.022528341403556248,0.035226312483225976,0.9774716585964438
claude-3-haiku-20240307,0.4,0.03547942803680389,0.0477834818178324,0.9645205719631961
claude-3-haiku-20240307,0.9,0.01861047807770473,0.023952170264028287,0.9813895219222952
claude-3-haiku-20240307,0.1,0.04471841140129087,0.0723279833516155,0.9552815885987092
claude-3-7-sonnet-20250219,0.7,0.035227833913044855,0.05468970915320927,0.9647721660869552
claude-3-7-sonnet-20250219,0.4,0.044086469095696336,0.06706028376998825,0.9559135309043036
claude-3-7-sonnet-20250219,0.9,0.025438544432706885,0.04077249477041285,0.9745614555672931
claude-3-7-sonnet-20250219,0.1,0.0795985212461656,0.13880566851100073,0.9204014787538344
DeepSeek-R1,0.7,0.016684717381648905,0.03257341625298765,0.9833152826183511
DeepSeek-R1,0.4,0.02482671368629162,0.04229806588040036,0.9751732863137084
DeepSeek-R1,0.9,0.014174234103689148,0.0272911478058558,0.9858257658963109
DeepSeek-R1,0.1,0.021621660597287075,0.040754378811221535,0.9783783394027129
DeepSeek-V3,0.7,0.03361668459025087,0.0492638497576386,0.9663833154097491
DeepSeek-V3,0.4,0.0415867365753706,0.06490658801828801,0.9584132634246294
DeepSeek-V3,0.9,0.03164356932554311,0.04758290975591578,0.9683564306744569
DeepSeek-V3,0.1,0.06746389001817055,0.11624804765567819,0.9325361099818295
DeepSeek-V3-0324,0.7,0.022790358342977414,0.040723872535571186,0.9772096416570226
DeepSeek-V3-0324,0.4,0.03511513146638998,0.056664032448759304,0.96488486853361
DeepSeek-V3-0324,0.9,0.021131047777676718,0.03629563187448254,0.9788689522223233
DeepSeek-V3-0324,0.1,0.04607617293313999,0.09595269836400341,0.95392382706686
gemini-2.0-flash,0.7,0.035977242358533154,0.04065851397777233,0.9640227576414668
gemini-2.0-flash,0.4,0.04740722765630771,0.05062657688361182,0.9525927723436923
gemini-2.0-flash,0.9,0.029675278072672628,0.03692514898348079,0.9703247219273273
gemini-2.0-flash,0.1,0.07080986434140078,0.11631662906978901,0.9291901356585992
gemini-2.0-flash-lite,0.7,0.030264740686043273,0.03825966228407444,0.9697352593139568
gemini-2.0-flash-lite,0.4,0.038353802899139866,0.05558430790204094,0.9616461971008601
gemini-2.0-flash-lite,0.9,0.029274984740647745,0.04332624588744398,0.9707250152593523
gemini-2.0-flash-lite,0.1,0.07459085573298017,0.11998276509239143,0.9254091442670198
gemini-2.0-flash-thinking-exp,0.7,0.01600618740214608,0.02814730012466816,0.9839938125978539
gemini-2.0-flash-thinking-exp,0.4,0.011499129070148299,0.027566955531006236,0.9885008709298517
gemini-2.0-flash-thinking-exp,0.9,0.013868736116987438,0.019888202956173818,0.9861312638830125
gemini-2.0-flash-thinking-exp,0.1,0.008583705143886155,0.022541758223577724,0.9914162948561138
gemini-2.0-pro-exp,0.7,0.026752297645798357,0.04207183152937039,0.9732477023542017
gemini-2.5-flash-preview-04-17,0.7,0.01799382271709249,0.03257652334043696,0.9820061772829075
gemini-2.5-flash-preview-04-17,0.4,0.01307426114058967,0.026193730548035216,0.9869257388594104
gemini-2.5-flash-preview-04-17,0.9,0.012933338386100104,0.01897086332106811,0.9870666616138999
gemini-2.5-flash-preview-04-17,0.1,0.009402644009766524,0.025697902212631733,0.9905973559902335
gemini-2.5-pro-preview-03-25,0.7,0.030366403223442286,0.05038128166169221,0.9696335967765577
gemini-2.5-pro-preview-03-25,0.4,0.03242012032091576,0.05281813876182757,0.9675798796790842
gemini-2.5-pro-preview-03-25,0.9,0.01999568775333067,0.031139516960417394,0.9800043122466693
gemini-2.5-pro-preview-03-25,0.1,0.024181630243490716,0.04701234112767365,0.9758183697565093
gemma-3-12b-it,0.7,0.1027163850682607,0.19054554240720328,0.8972836149317394
gemma-3-12b-it,0.4,0.12025980960914187,0.19141635111149544,0.8797401903908582
gemma-3-12b-it,0.9,0.12343027890680565,0.2169312468145245,0.8765697210931943
gemma-3-12b-it,0.1,0.16568880170449707,0.30517023495714923,0.8343111982955029
gemma-3-1b-it,0.7,0.11299908813818936,0.18081027219584875,0.8870009118618106
gemma-3-1b-it,0.4,0.09048777710454475,0.13731639703241993,0.9095122228954553
gemma-3-1b-it,0.9,0.13729253422246043,0.3002341485691462,0.8627074657775395
gemma-3-1b-it,0.1,0.05958480369097263,0.10237539084105482,0.9404151963090274
gemma-3-27b-it,0.7,0.0859460331322094,0.1762552680299468,0.9140539668677906
gemma-3-27b-it,0.4,0.14201957579090418,0.23542206328764279,0.8579804242090958
gemma-3-27b-it,0.9,0.1474234540031619,0.25298801669658727,0.8525765459968381
gemma-3-27b-it,0.1,0.16842527624716183,0.27082332725017794,0.8315747237528381
gemma-3-4b-it,0.7,0.1110055612308444,0.17877009519988526,0.8889944387691556
gemma-3-4b-it,0.4,0.11651927738584307,0.17199934408791426,0.8834807226141569
gemma-3-4b-it,0.9,0.08250590356086912,0.10887180911535127,0.9174940964391309
gemma-3-4b-it,0.1,0.08255026017587469,0.14044139801014072,0.9174497398241253
Llama-3.3-70B-Instruct-Turbo,0.7,0.02808970746870701,0.031754541889137455,0.971910292531293
Llama-3.3-70B-Instruct-Turbo,0.4,0.03805276838941796,0.054094615294558286,0.961947231610582
Llama-3.3-70B-Instruct-Turbo,0.9,0.017348936538600052,0.02440628523682894,0.9826510634614
Llama-3.3-70B-Instruct-Turbo,0.1,0.05524257028304678,0.08517053127882404,0.9447574297169532
Llama-4-Maverick-17B,0.7,0.04650510790433288,0.06031649702603956,0.9534948920956671
Llama-4-Maverick-17B,0.4,0.05491006311624627,0.06865262125680288,0.9450899368837538
Llama-4-Maverick-17B,0.9,0.040079481776377136,0.05858276763616157,0.9599205182236229
Llama-4-Maverick-17B,0.1,0.07198751596201813,0.11744770879910249,0.9280124840379819
Llama-4-Scout-17B,0.7,0.14237501798174051,0.32185010772635203,0.8576249820182595
Llama-4-Scout-17B,0.4,0.3543123613731013,0.46531524275044495,0.6456876386268987
Llama-4-Scout-17B,0.9,0.16771810061647796,0.3475673858700588,0.832281899383522
Llama-4-Scout-17B,0.1,0.1387495716914581,0.2537855068154266,0.8612504283085419
gpt-4.1,0.7,0.02458106628477275,0.04677681359364684,0.9754189337152273
gpt-4.1,0.4,0.03053874137190427,0.06220708151872855,0.9694612586280957
gpt-4.1,0.9,0.01593280239985721,0.03779792269475283,0.9840671976001428
gpt-4.1,0.1,0.048024396513759546,0.08863027733419655,0.9519756034862404
