Unnamed: 0	Q1value	Q2value	Q3value	Q4value
DeepSeek-R1_maximum	55.167	74.25	32.583	38.25
DeepSeek-R1_minimum	55.167	74.25	32.583	38.25
DeepSeek-R1_mean	55.167	74.25	32.583	38.25
DeepSeek-R1_std_dev	0.0	0.0	0.0	0.0
DeepSeek-R1_median	55.167	74.25	32.583	38.25
DeepSeek-R1_skewness				
DeepSeek-R1_kurtosis				
DeepSeek-V3_maximum	65.125	57.917	32.833	33.833
DeepSeek-V3_minimum	65.125	57.917	32.833	33.833
DeepSeek-V3_mean	65.125	57.917	32.833	33.833
DeepSeek-V3_std_dev	0.0	0.0	0.0	0.0
DeepSeek-V3_median	65.125	57.917	32.833	33.833
DeepSeek-V3_skewness				
DeepSeek-V3_kurtosis				
DeepSeek-V3-0324_maximum	62.833	64.292	38.125	39.167
DeepSeek-V3-0324_minimum	62.833	64.292	38.125	39.167
DeepSeek-V3-0324_mean	62.833	64.292	38.125	39.167
DeepSeek-V3-0324_std_dev	0.0	0.0	0.0	0.0
DeepSeek-V3-0324_median	62.833	64.292	38.125	39.167
DeepSeek-V3-0324_skewness				
DeepSeek-V3-0324_kurtosis				
Llama-3.3-70B-Instruct-Turbo_maximum	60.0	56.25	39.25	30.5
Llama-3.3-70B-Instruct-Turbo_minimum	60.0	56.25	39.25	30.5
Llama-3.3-70B-Instruct-Turbo_mean	60.0	56.25	39.25	30.5
Llama-3.3-70B-Instruct-Turbo_std_dev	0.0	0.0	0.0	0.0
Llama-3.3-70B-Instruct-Turbo_median	60.0	56.25	39.25	30.5
Llama-3.3-70B-Instruct-Turbo_skewness				
Llama-3.3-70B-Instruct-Turbo_kurtosis				
Llama-4-Maverick-17B_maximum	78.333	54.167	26.667	44.333
Llama-4-Maverick-17B_minimum	78.333	54.167	26.667	44.333
Llama-4-Maverick-17B_mean	78.333	54.167	26.667	44.333
Llama-4-Maverick-17B_std_dev	0.0	0.0	0.0	0.0
Llama-4-Maverick-17B_median	78.333	54.167	26.667	44.333
Llama-4-Maverick-17B_skewness				
Llama-4-Maverick-17B_kurtosis				
Llama-4-Scout-17B_maximum	80.0	70.13	12.078	28.442
Llama-4-Scout-17B_minimum	80.0	70.13	12.078	28.442
Llama-4-Scout-17B_mean	80.0	70.13	12.078	28.442
Llama-4-Scout-17B_std_dev	0.0	0.0	0.0	0.0
Llama-4-Scout-17B_median	80.0	70.13	12.078	28.442
Llama-4-Scout-17B_skewness				
Llama-4-Scout-17B_kurtosis				
Qwen2.5-VL-7B-Instruct_maximum	85.0	36.25	12.569	17.479
Qwen2.5-VL-7B-Instruct_minimum	85.0	36.25	12.569	17.479
Qwen2.5-VL-7B-Instruct_mean	85.0	36.25	12.569	17.479
Qwen2.5-VL-7B-Instruct_std_dev	0.0	0.0	0.0	0.0
Qwen2.5-VL-7B-Instruct_median	85.0	36.25	12.569	17.479
Qwen2.5-VL-7B-Instruct_skewness				
Qwen2.5-VL-7B-Instruct_kurtosis				
Qwen3-235B-A22B-FP8_maximum	80.586	69.283	33.608	29.112
Qwen3-235B-A22B-FP8_minimum	80.586	69.283	33.608	29.112
Qwen3-235B-A22B-FP8_mean	80.586	69.283	33.608	29.112
Qwen3-235B-A22B-FP8_std_dev	0.0	0.0	0.0	0.0
Qwen3-235B-A22B-FP8_median	80.586	69.283	33.608	29.112
Qwen3-235B-A22B-FP8_skewness				
Qwen3-235B-A22B-FP8_kurtosis				
claude-3-5-haiku-20241022_maximum	73.292	60.125	31.542	29.75
claude-3-5-haiku-20241022_minimum	73.292	60.125	31.542	29.75
claude-3-5-haiku-20241022_mean	73.292	60.125	31.542	29.75
claude-3-5-haiku-20241022_std_dev	0.0	0.0	0.0	0.0
claude-3-5-haiku-20241022_median	73.292	60.125	31.542	29.75
claude-3-5-haiku-20241022_skewness				
claude-3-5-haiku-20241022_kurtosis				
claude-3-5-sonnet-20241022_maximum	67.583	72.917	46.458	42.958
claude-3-5-sonnet-20241022_minimum	67.583	72.917	46.458	42.958
claude-3-5-sonnet-20241022_mean	67.583	72.917	46.458	42.958
claude-3-5-sonnet-20241022_std_dev	0.0	0.0	0.0	0.0
claude-3-5-sonnet-20241022_median	67.583	72.917	46.458	42.958
claude-3-5-sonnet-20241022_skewness				
claude-3-5-sonnet-20241022_kurtosis				
