model	DeepSeek-R1	DeepSeek-V3	DeepSeek-V3-0324	Llama-3.3-70B-Instruct-Turbo	Llama-4-Maverick-17B	Llama-4-Scout-17B	Qwen2.5-VL-7B-Instruct	Qwen3-235B-A22B-FP8	claude-3-5-haiku-20241022	claude-3-5-sonnet-20241022	claude-3-7-sonnet-20250219	claude-3-haiku-20240307	gemini-2.0-flash	gemini-2.0-flash-lite	gemini-2.0-flash-thinking-exp	gemini-2.0-pro-exp	gemini-2.5-flash-preview-04-17	gemini-2.5-pro-preview-03-25	gemma-3-12b-it	gemma-3-1b-it	gemma-3-27b-it	gemma-3-4b-it	gpt-4.1	gpt-4.1-mini	gpt-4.1-nano	gpt-4o	gpt-4o-mini	grok-2-latest	grok-3-fast-latest	grok-3-latest	grok-3-mini-fast-latest	grok-3-mini-latest	o1-mini	o3	o3-mini	o4-mini
DeepSeek-R1	1.0	0.9002000634983263	0.9384381556545132	0.0102793066216722	0.1455893956309089	0.7991213357038496	0.5375968245449756	0.8248155284926718	0.8457258227555082	0.1809748327402064	0.1576982446792484	-0.1045949421928385	-0.9163005151624402	0.6504508882701197	0.4639889203205072	0.3317263928336877	0.2580928878771554	-0.4867497039457384	0.5585515096047118	-0.409785962956289	0.090350267615851	0.9537250516871274	0.9237115092582212	0.9685604852207714	0.8557789716967096	0.6550677698968528	0.1644106825647363	0.9241395950506603	0.7046529866887568	0.7588083617836902	0.8824736397877967	0.8866848929576082	0.8848130373823362	0.9657472775336556	-0.3718702828279547	0.9820099729651636
DeepSeek-V3	0.9002000634983263	1.0	0.7599171718397406	0.0031977488322384	0.345077248601544	0.8776430178942801	0.8500756534436168	0.7267180706619336	0.9716981927964832	0.2547902210975819	0.4454350502046346	0.1773071681875993	-0.7519896397768224	0.877709685920096	0.3539892558350073	0.2156717465723874	0.1615689680583632	-0.5579190247404109	0.1682437803940222	-0.7635295260413989	0.5117994718228837	0.9762466260544276	0.9314010495356344	0.9555456411835868	0.9576630049941128	0.8122189283205133	0.5760771481011691	0.9982503636759104	0.9311594110100656	0.9631834521513156	0.9703276004706188	0.9584994805621992	0.9230064892573828	0.921836146817267	-0.1128535447970879	0.9099256412177918
DeepSeek-V3-0324	0.9384381556545132	0.7599171718397406	1.0	0.2975440417437657	0.285764584911868	0.8156835056307188	0.322361908252028	0.6201622650542388	0.7641635888666457	0.4027080595228486	0.2117402511363047	0.0013872268198988	-0.7887133823287663	0.3781036205064346	0.7131289366845247	0.6119618912710789	0.5455130894685642	-0.1667033016319976	0.7630758667292693	-0.2376381454599568	-0.0732472016184959	0.8047644700282272	0.7346284711635647	0.91659567113408	0.8012933094886218	0.6739088595660162	-0.0139733584273538	0.7905382011016048	0.5846631296645678	0.6159560134574401	0.6807041537391667	0.6805574588215458	0.8776479690645987	0.9483631898816256	-0.22696421290458	0.9610702206579278
Llama-3.3-70B-Instruct-Turbo	0.0102793066216722	0.0031977488322384	0.2975440417437657	1.0	0.8531809491848509	0.4819511427446775	-0.070292622199265	-0.5551725998233706	0.2285886834790697	0.9593741443775518	0.6914605824775757	0.765039326693643	0.3520642189772864	-0.3586357179023726	0.8803556128096415	0.9298664112447516	0.957125765932682	0.8278292414863851	0.3290743020274631	-0.0956620347266647	0.1084727716242766	-0.1256695824221941	-0.3004973166836452	0.1653591619885741	0.29029994455244	0.5561135987944031	0.0697080263602352	-0.0037751323056595	0.1948509301126722	0.101246971992524	-0.2374226605140491	-0.2757498084259991	0.3693179984448277	0.2380313007258556	0.7648973877061046	0.188442590619607
Llama-4-Maverick-17B	0.1455893956309089	0.345077248601544	0.285764584911868	0.8531809491848509	1.0	0.7061370717419932	0.4363938507668614	-0.3822075747181974	0.5551575333057273	0.9548440331732458	0.9661847326104146	0.956496253402328	0.2612580002557149	0.1187136652305397	0.7458556842960014	0.7480279202341633	0.7754494933878543	0.505926631153856	-0.0277572218598039	-0.5943878003289687	0.6031165386430938	0.1585727555119397	-0.0162776308579253	0.3711624184028744	0.5828429024694047	0.8243994632828899	0.5771904456201088	0.3154289972583006	0.6068304655897828	0.514516583285388	0.1201598572251192	0.0697661733797599	0.5843974901010028	0.3971469634470586	0.862532045777625	0.3260942774255442
Llama-4-Scout-17B	0.7991213357038496	0.8776430178942801	0.8156835056307188	0.4819511427446775	0.7061370717419932	1.0	0.7044662816775812	0.3757638269576592	0.959950435704988	0.6812924680081499	0.714330040688459	0.5140501322274204	-0.4971817361804536	0.5931414981919128	0.7359984885658888	0.6383036686282555	0.6032330310936738	-0.0918726117153406	0.3168605028215311	-0.706670337066664	0.4895589415241142	0.7972948869300758	0.6745758034030167	0.9195167970526352	0.9778703667609008	0.9757201773822702	0.5277792966575288	0.8735136126357166	0.9052302656122502	0.889194343995525	0.7366670295625742	0.7083808156902067	0.9871058707817586	0.9255904568184442	0.2595921687902187	0.8921916339210112
Qwen2.5-VL-7B-Instruct	0.5375968245449756	0.8500756534436168	0.322361908252028	-0.070292622199265	0.4363938507668614	0.7044662816775812	1.0	0.4491390768432485	0.8462881418048938	0.2130652369697106	0.6258143316767087	0.4181756055998124	-0.375261125839805	0.9366055101974236	0.0704327259986904	-0.0410694124981381	-0.0589570824302895	-0.546044190377738	-0.3657113524312129	-0.9755429560953566	0.871877516731715	0.7484141415122637	0.7090915577195115	0.6720502941832056	0.8032185820212698	0.7460905688123171	0.9096153018269816	0.8184717713044329	0.9392574844091812	0.9421520570920148	0.8295181249740684	0.8041201750084231	0.6965312797201861	0.6057458511883226	0.1787409643096719	0.5664751657029079
Qwen3-235B-A22B-FP8	0.8248155284926718	0.7267180706619336	0.6201622650542388	-0.5551725998233706	-0.3822075747181974	0.3757638269576592	0.4491390768432485	1.0	0.5521781923319656	-0.4003781926668471	-0.2899433799239738	-0.5460899316794647	-0.9671488827517352	0.7130834812369037	-0.1049607797571556	-0.2408110579040839	-0.3185886184648945	-0.8593433922128264	0.3121073629458029	-0.2464389712013773	-0.0297458168149929	0.8511822420332622	0.9267167194070648	0.7027180069074536	0.5280403937229565	0.2077542556921774	0.053887952298146	0.7528963885527868	0.4452874849902606	0.5447860983181633	0.8491704912856061	0.8758785559381921	0.5137192039860499	0.662526916335377	-0.7629959348997609	0.7067068890757681
claude-3-5-haiku-20241022	0.8457258227555082	0.9716981927964832	0.7641635888666457	0.2285886834790697	0.5551575333057273	0.959950435704988	0.8462881418048938	0.5521781923319656	1.0	0.4726929633874511	0.6285977277807384	0.3883161607173734	-0.6116389081808357	0.7935276318360746	0.5197668658843009	0.397940831667296	0.3556201464581441	-0.3565768483833644	0.1721062353960835	-0.8079446331434694	0.5814405369752377	0.9073060945970536	0.8224569683879505	0.9477627269254554	0.9966912071810607	0.9270111679592296	0.6324452262558746	0.9642917043020274	0.9699061753121432	0.9756857060249118	0.8868897655731304	0.8643134918188992	0.9712099329081836	0.9270517297055696	0.1075279343158233	0.8998813453184012
claude-3-5-sonnet-20241022	0.1809748327402064	0.2547902210975819	0.4027080595228486	0.9593741443775518	0.9548440331732458	0.6812924680081499	0.2130652369697106	-0.4003781926668471	0.4726929633874511	1.0	0.8476301751101148	0.856950695304901	0.2189987645073753	-0.0827465129679489	0.892364259556913	0.9073817517192402	0.9272478540068302	0.6503534346191431	0.2393672397372361	-0.3653221207201927	0.3414307267630809	0.1030822110621634	-0.0792001313845548	0.3676778859906139	0.5218087666986664	0.7609959394858166	0.3156277440667777	0.2401839690237897	0.4606805039005108	0.3714009778369102	0.0135193607210172	-0.0306286365620402	0.5713738602465123	0.4209540972625019	0.7855527855063027	0.3624174684204482
