persona	model	Q1value	Q2value	Q3value	Q4value
p1	DeepSeek-R1	53.333333333333336	72.66666666666667	31.5	38.833333333333336
p1	DeepSeek-V3	64.33333333333333	60.333333333333336	34.333333333333336	32.0
p1	DeepSeek-V3-0324	63.833333333333336	64.5	40.5	37.66666666666666
p1	Llama-3.3-70B-Instruct-Turbo	60.0	55.333333333333336	40.0	31.0
p1	Llama-4-Maverick-17B	80.0	60.0	24.0	43.333333333333336
p1	Llama-4-Scout-17B	80.0	64.21052631578948	11.052631578947368	24.210526315789476
p1	Qwen2.5-VL-7B-Instruct	85.0	36.66666666666666	13.10344827586207	18.620689655172413
p1	Qwen3-235B-A22B-FP8	81.19047619047619	67.52380952380952	29.5	25.0
p1	claude-3-5-haiku-20241022	74.83333333333333	60.66666666666666	25.666666666666668	25.0
p1	claude-3-5-sonnet-20241022	68.66666666666667	74.66666666666667	45.66666666666666	46.0
p1	claude-3-7-sonnet-20250219	63.0	70.5	40.333333333333336	34.333333333333336
p1	claude-3-haiku-20240307	65.5	60.5	41.66666666666666	61.333333333333336
p1	gemini-2.0-flash	66.0	59.833333333333336	37.0	43.333333333333336
p1	gemini-2.0-flash-lite	75.0	46.0	24.0	17.5
p1	gemini-2.0-flash-thinking-exp	52.75862068965517	45.3448275862069	31.89655172413793	36.03448275862069
p1	gemini-2.0-pro-exp	62.5	65.22727272727273	31.818181818181817	33.40909090909091
p1	gemini-2.5-flash-preview-04-17	47.29166666666666	48.333333333333336	37.29166666666666	39.79166666666666
p1	gemini-2.5-pro-preview-03-25	68.75	63.333333333333336	23.95833333333333	27.916666666666668
p1	gemma-3-12b-it	60.0	53.333333333333336	32.333333333333336	21.0
p1	gemma-3-1b-it	66.66666666666667	81.66666666666667	71.33333333333333	55.333333333333336
p1	gemma-3-27b-it	66.33333333333333	45.333333333333336	31.0	30.33333333333333
p1	gemma-3-4b-it	75.0	61.5	30.83333333333333	36.66666666666666
p1	gpt-4.1	66.16666666666667	67.83333333333333	38.833333333333336	26.666666666666668
p1	gpt-4.1-mini	58.0	54.16666666666666	40.833333333333336	34.333333333333336
p1	gpt-4.1-nano	74.5	57.333333333333336	20.666666666666668	25.166666666666668
p1	gpt-4o	71.33333333333333	68.66666666666667	28.666666666666668	26.166666666666668
p1	gpt-4o-mini	73.5	50.16666666666666	29.33333333333333	22.5
p1	grok-2-latest	75.0	62.333333333333336	24.0	22.166666666666668
p1	grok-3-fast-latest	61.5	57.0	32.333333333333336	27.33333333333333
p1	grok-3-latest	61.833333333333336	58.833333333333336	33.333333333333336	30.83333333333333
p1	grok-3-mini-fast-latest	60.0	49.833333333333336	32.666666666666664	34.333333333333336
p1	grok-3-mini-latest	61.0	48.66666666666666	33.0	34.666666666666664
p1	o1-mini	60.333333333333336	60.833333333333336	46.16666666666666	53.66666666666666
p1	o3	65.93333333333334	59.73333333333333	37.03333333333333	34.9
p1	o3-mini	77.66666666666667	65.1	21.5	33.5
p1	o4-mini	59.58620689655172	59.3448275862069	34.55172413793103	27.86206896551724
p2	DeepSeek-R1	58.5	78.33333333333333	32.0	39.16666666666666
p2	DeepSeek-V3	67.0	57.66666666666666	31.666666666666668	34.166666666666664
p2	DeepSeek-V3-0324	63.0	64.16666666666667	34.666666666666664	39.66666666666666
