Unnamed: 0	Q1value	Q2value	Q3value	Q4value
p1_maximum	66.735	59.257	33.14	33.343
p1_minimum	66.735	59.257	33.14	33.343
p1_mean	66.735	59.257	33.14	33.343
p1_std_dev	0.0	0.0	0.0	0.0
p1_median	66.735	59.257	33.14	33.343
p1_skewness				
p1_kurtosis				
p2_maximum	66.531	59.107	33.296	34.794
p2_minimum	66.531	59.107	33.296	34.794
p2_mean	66.531	59.107	33.296	34.794
p2_std_dev	0.0	0.0	0.0	0.0
p2_median	66.531	59.107	33.296	34.794
p2_skewness				
p2_kurtosis				
p3_maximum	66.597	61.247	35.797	35.843
p3_minimum	66.597	61.247	35.797	35.843
p3_mean	66.597	61.247	35.797	35.843
p3_std_dev	0.0	0.0	0.0	0.0
p3_median	66.597	61.247	35.797	35.843
p3_skewness				
p3_kurtosis				
p4_maximum	62.255	54.611	32.348	32.571
p4_minimum	62.255	54.611	32.348	32.571
p4_mean	62.255	54.611	32.348	32.571
p4_std_dev	0.0	0.0	0.0	0.0
p4_median	62.255	54.611	32.348	32.571
p4_skewness				
p4_kurtosis				
