model	temperature	Q1reason_length	Q2reason_length	Q3reason_length	Q4reason_length
DeepSeek-R1	0.1	95.16666666666669	94.96666666666668	78.86666666666666	82.36666666666666
DeepSeek-R1	0.4	98.1	94.9	81.2	87.76666666666667
DeepSeek-R1	0.7	94.86666666666666	90.26666666666668	77.23333333333333	82.06666666666666
DeepSeek-R1	0.9	98.76666666666668	94.76666666666668	81.13333333333334	82.46666666666667
DeepSeek-V3	0.1	85.96666666666667	78.33333333333333	72.4	76.16666666666667
DeepSeek-V3	0.4	103.43333333333334	91.13333333333334	84.5	88.36666666666666
DeepSeek-V3	0.7	92.96666666666668	82.63333333333334	80.3	82.86666666666666
DeepSeek-V3	0.9	105.56666666666666	97.66666666666669	85.7	91.16666666666669
DeepSeek-V3-0324	0.1	72.26666666666667	72.5	63.5	66.36666666666666
DeepSeek-V3-0324	0.4	86.9	93.7	80.53333333333333	87.1
DeepSeek-V3-0324	0.7	82.43333333333334	81.0	66.96666666666667	75.86666666666666
DeepSeek-V3-0324	0.9	88.16666666666667	87.06666666666666	77.63333333333334	82.1
Llama-3.3-70B-Instruct-Turbo	0.1	116.93333333333334	120.5	113.66666666666669	122.03333333333332
Llama-3.3-70B-Instruct-Turbo	0.4	115.1	116.7	113.06666666666666	125.13333333333334
Llama-3.3-70B-Instruct-Turbo	0.7	127.63333333333334	129.2	118.13333333333334	134.43333333333334
Llama-3.3-70B-Instruct-Turbo	0.9	115.1	116.13333333333334	115.13333333333334	128.03333333333333
Llama-4-Maverick-17B	0.1	133.76666666666668	115.86666666666666	112.93333333333334	133.56666666666666
Llama-4-Maverick-17B	0.4	145.13333333333333	133.9	129.9	156.0
Llama-4-Maverick-17B	0.7	140.33333333333334	131.63333333333333	120.93333333333334	152.93333333333334
Llama-4-Maverick-17B	0.9	135.16666666666666	128.3	123.16666666666669	151.73333333333332
Llama-4-Scout-17B	0.1	150.4	139.66666666666666	102.5	129.26666666666668
Llama-4-Scout-17B	0.4	67.53333333333333	56.8	49.833333333333336	70.93333333333334
Llama-4-Scout-17B	0.7	88.36666666666666	75.2	63.06666666666667	76.53333333333333
Llama-4-Scout-17B	0.9	87.8	73.33333333333333	61.4	80.23333333333333
Qwen2.5-VL-7B-Instruct	0.1	148.73333333333332	57.0	60.5	73.3
Qwen2.5-VL-7B-Instruct	0.4	134.33333333333334	79.66666666666667	60.0	138.33333333333334
Qwen2.5-VL-7B-Instruct	0.7	152.33333333333334	66.0	82.53333333333333	80.1
Qwen2.5-VL-7B-Instruct	0.9	146.93333333333334	66.6	105.96666666666668	64.63333333333334
Qwen3-235B-A22B-FP8	0.1	117.3	106.76666666666668	90.1	78.2
Qwen3-235B-A22B-FP8	0.4	139.96666666666667	127.4	99.16666666666669	69.03333333333333
Qwen3-235B-A22B-FP8	0.7	134.33333333333334	124.5	97.66666666666669	69.93333333333334
Qwen3-235B-A22B-FP8	0.9	133.1	123.23333333333332	101.93333333333334	73.93333333333334
claude-3-5-haiku-20241022	0.1	96.06666666666666	82.5	74.86666666666666	83.56666666666666
claude-3-5-haiku-20241022	0.4	109.46666666666668	94.23333333333332	80.76666666666667	93.03333333333332
claude-3-5-haiku-20241022	0.7	119.2	102.66666666666669	90.9	104.0
claude-3-5-haiku-20241022	0.9	114.63333333333334	98.66666666666669	85.5	99.43333333333334
claude-3-5-sonnet-20241022	0.1	85.26666666666667	84.53333333333333	80.4	96.53333333333332
claude-3-5-sonnet-20241022	0.4	96.4	93.6	88.7	106.1
claude-3-5-sonnet-20241022	0.7	90.03333333333333	91.2	81.1	94.13333333333334
claude-3-5-sonnet-20241022	0.9	94.0	89.93333333333334	81.96666666666667	99.56666666666666
claude-3-7-sonnet-20250219	0.1	156.7	152.93333333333334	147.76666666666668	159.06666666666666
claude-3-7-sonnet-20250219	0.4	150.66666666666666	142.8	144.8	156.66666666666666
claude-3-7-sonnet-20250219	0.7	162.36666666666667	146.96666666666667	149.36666666666667	161.83333333333334
claude-3-7-sonnet-20250219	0.9	159.53333333333333	148.7	148.2	161.66666666666666
claude-3-haiku-20240307	0.1	137.73333333333332	117.7	124.36666666666666	143.36666666666667
claude-3-haiku-20240307	0.4	141.8	126.2	130.6	154.6
claude-3-haiku-20240307	0.7	125.33333333333331	114.96666666666668	117.1	136.2
claude-3-haiku-20240307	0.9	129.76666666666668	123.33333333333331	120.13333333333334	144.4
gemini-2.0-flash	0.1	79.86666666666666	81.63333333333334	84.96666666666667	88.23333333333333
gemini-2.0-flash	0.4	114.13333333333334	114.7	126.96666666666668	133.26666666666668
gemini-2.0-flash	0.7	108.93333333333334	105.43333333333334	114.06666666666666	114.23333333333332
gemini-2.0-flash	0.9	106.36666666666666	109.0	118.73333333333332	119.63333333333334
gemini-2.0-flash-lite	0.1	102.56666666666666	83.33333333333333	86.76666666666667	79.7
gemini-2.0-flash-lite	0.4	111.1	102.03333333333332	98.86666666666666	102.0
gemini-2.0-flash-lite	0.7	118.56666666666666	97.16666666666669	92.56666666666666	92.13333333333334
gemini-2.0-flash-lite	0.9	117.33333333333331	98.83333333333331	108.7	101.1
gemini-2.0-flash-thinking-exp	0.1	80.5	81.2	72.5	88.13333333333334
gemini-2.0-flash-thinking-exp	0.4	117.4	120.36666666666666	109.83333333333331	121.63333333333334
gemini-2.0-flash-thinking-exp	0.7	128.46666666666667	135.83333333333334	111.23333333333332	132.93333333333334
gemini-2.0-flash-thinking-exp	0.9	169.1	174.33333333333334	153.0	181.06666666666663
gemini-2.0-pro-exp	0.4	153.0	192.0	149.0	184.0
gemini-2.0-pro-exp	0.7	158.42307692307693	161.46153846153845	150.53846153846155	165.34615384615384
gemini-2.5-flash-preview-04-17	0.1	71.23333333333333	73.2	72.43333333333334	85.63333333333334
gemini-2.5-flash-preview-04-17	0.4	116.76666666666668	129.73333333333332	110.1	134.4
gemini-2.5-flash-preview-04-17	0.7	133.16666666666666	131.56666666666666	111.76666666666668	131.66666666666666
gemini-2.5-flash-preview-04-17	0.9	171.16666666666666	178.26666666666668	163.56666666666666	183.7333333333333
gemini-2.5-pro-preview-03-25	0.1	99.73333333333332	115.93333333333334	119.16666666666669	133.86666666666667
gemini-2.5-pro-preview-03-25	0.4	169.93333333333334	173.63333333333333	165.3	187.13333333333333
gemini-2.5-pro-preview-03-25	0.7	150.7	162.26666666666668	156.36666666666667	169.4
gemini-2.5-pro-preview-03-25	0.9	156.6	169.83333333333334	165.06666666666666	181.56666666666663
gemma-3-12b-it	0.1	83.13333333333334	104.33333333333331	94.2	92.8
gemma-3-12b-it	0.4	130.53333333333333	138.66666666666666	124.93333333333334	134.73333333333332
gemma-3-12b-it	0.7	130.93333333333334	127.73333333333332	120.43333333333334	126.8
gemma-3-12b-it	0.9	131.4	138.73333333333332	124.7	125.76666666666668
gemma-3-1b-it	0.1	73.0	97.96666666666668	96.46666666666668	97.33333333333331
gemma-3-1b-it	0.4	97.8	114.5	115.4	102.96666666666668
gemma-3-1b-it	0.7	110.66666666666669	130.56666666666666	120.5	100.73333333333332
gemma-3-1b-it	0.9	97.0	105.36666666666666	103.2	113.36666666666666
gemma-3-27b-it	0.1	84.83333333333333	83.36666666666666	78.83333333333333	85.7
gemma-3-27b-it	0.4	109.83333333333331	96.36666666666666	102.7	105.76666666666668
gemma-3-27b-it	0.7	103.36666666666666	100.93333333333334	98.43333333333334	100.53333333333332
gemma-3-27b-it	0.9	108.7	92.9	108.63333333333334	104.96666666666668
gemma-3-4b-it	0.1	100.7	94.9	85.83333333333333	89.06666666666666
gemma-3-4b-it	0.4	168.96666666666667	143.2	121.0	127.3
gemma-3-4b-it	0.7	143.5	135.7	111.06666666666666	115.23333333333332
gemma-3-4b-it	0.9	151.9	137.53333333333333	134.23333333333332	132.6
gpt-4.1	0.1	66.4	63.53333333333333	60.43333333333333	58.36666666666667
gpt-4.1	0.4	123.03333333333332	113.16666666666669	110.23333333333332	103.33333333333331
gpt-4.1	0.7	103.6	100.03333333333332	86.53333333333333	88.13333333333334
gpt-4.1	0.9	112.1	101.93333333333334	95.66666666666669	97.53333333333332
gpt-4.1-mini	0.1	76.16666666666667	72.8	62.66666666666666	69.16666666666667
gpt-4.1-mini	0.4	95.6	88.1	78.33333333333333	85.9
gpt-4.1-mini	0.7	94.23333333333332	90.23333333333332	78.26666666666667	84.63333333333334
gpt-4.1-mini	0.9	97.1	92.13333333333334	82.8	86.06666666666666
gpt-4.1-nano	0.1	55.2	50.86666666666667	47.2	49.6
gpt-4.1-nano	0.4	90.73333333333332	82.63333333333334	77.73333333333333	83.86666666666666
gpt-4.1-nano	0.7	72.1	67.4	63.7	64.03333333333333
gpt-4.1-nano	0.9	78.83333333333333	77.43333333333334	71.86666666666666	81.2
gpt-4o	0.1	93.35	86.55	87.0	93.1
gpt-4o	0.4	116.03333333333332	110.93333333333334	101.83333333333331	114.16666666666669
gpt-4o	0.7	109.06666666666666	103.06666666666666	95.53333333333332	105.53333333333332
gpt-4o	0.9	117.36666666666666	104.66666666666669	97.46666666666668	110.73333333333332
gpt-4o-mini	0.1	97.3	88.2	89.35	86.8
gpt-4o-mini	0.4	112.83333333333331	104.93333333333334	104.86666666666666	111.73333333333332
gpt-4o-mini	0.7	106.96666666666668	92.3	102.36666666666666	100.4
gpt-4o-mini	0.9	112.16666666666669	100.3	103.73333333333332	109.13333333333334
grok-2-latest	0.1	125.3	102.96666666666668	99.63333333333334	109.9
grok-2-latest	0.4	153.43333333333334	142.63333333333333	128.8	134.56666666666666
grok-2-latest	0.7	136.1	122.26666666666668	115.16666666666669	117.5
grok-2-latest	0.9	143.96666666666667	143.46666666666667	127.16666666666669	129.33333333333334
grok-3-fast-latest	0.1	138.03333333333333	120.9	122.3	131.1
grok-3-fast-latest	0.4	170.33333333333334	154.0	146.23333333333332	157.76666666666668
grok-3-fast-latest	0.7	156.26666666666668	139.23333333333332	135.5	144.86666666666667
grok-3-fast-latest	0.9	173.43333333333334	166.13333333333333	160.5	162.5
grok-3-latest	0.1	136.13333333333333	122.76666666666668	122.86666666666666	126.36666666666666
grok-3-latest	0.4	163.63333333333333	147.9	143.96666666666667	152.9
grok-3-latest	0.7	156.03333333333333	136.93333333333334	129.26666666666668	139.36666666666667
grok-3-latest	0.9	178.93333333333334	167.7	161.0	164.9
grok-3-mini-fast-latest	0.1	109.33333333333331	99.06666666666666	91.93333333333334	95.23333333333332
grok-3-mini-fast-latest	0.4	157.26666666666668	151.33333333333334	146.0	148.03333333333333
grok-3-mini-fast-latest	0.7	130.36666666666667	121.3	119.93333333333334	118.2
grok-3-mini-fast-latest	0.9	147.56666666666666	140.46666666666667	137.13333333333333	132.93333333333334
grok-3-mini-latest	0.1	103.4	101.36666666666666	91.36666666666666	92.33333333333331
grok-3-mini-latest	0.4	159.96666666666667	150.73333333333332	143.3	145.66666666666666
grok-3-mini-latest	0.7	119.33333333333331	110.66666666666669	106.73333333333332	100.3
grok-3-mini-latest	0.9	158.2	140.23333333333332	139.96666666666667	139.43333333333334
