model	temperature	mean_similarity	std_similarity	diversity_score
Qwen2.5-VL-7B-Instruct	0.7	0.2977196841100801	0.4332086673805233	0.7022803158899199
Qwen2.5-VL-7B-Instruct	0.4	0.3158919676453581	0.4481958877782596	0.6841080323546418
Qwen2.5-VL-7B-Instruct	0.9	0.2438304211821945	0.4022384103253504	0.7561695788178054
Qwen2.5-VL-7B-Instruct	0.1	0.2585335902868841	0.4134169986606733	0.7414664097131158
Qwen3-235B-A22B-FP8	0.7	0.0239371938212055	0.0412356449162903	0.9760628061787944
Qwen3-235B-A22B-FP8	0.4	0.0239937480948661	0.0400036386098589	0.9760062519051338
Qwen3-235B-A22B-FP8	0.9	0.016129297840567	0.0258501557516986	0.983870702159433
Qwen3-235B-A22B-FP8	0.1	0.0222544129550294	0.0385848798867095	0.9777455870449706
claude-3-5-haiku-20241022	0.7	0.0310418988580057	0.0469260437438396	0.9689581011419942
claude-3-5-haiku-20241022	0.4	0.0363999524528266	0.0590086075621134	0.9636000475471732
claude-3-5-haiku-20241022	0.9	0.0197243192264259	0.0347224960947423	0.980275680773574
claude-3-5-haiku-20241022	0.1	0.0580105825181106	0.1139156963808842	0.9419894174818894
claude-3-5-sonnet-20241022	0.7	0.0389682091322855	0.0633210446599634	0.9610317908677144
claude-3-5-sonnet-20241022	0.4	0.0499452097239047	0.0818180669835612	0.9500547902760952
claude-3-5-sonnet-20241022	0.9	0.0304683395984409	0.0532233271190745	0.969531660401559
claude-3-5-sonnet-20241022	0.1	0.0937529189076886	0.1717326226382957	0.9062470810923112
claude-3-haiku-20240307	0.7	0.0225283414035562	0.0352263124832259	0.9774716585964438
claude-3-haiku-20240307	0.4	0.0354794280368038	0.0477834818178324	0.964520571963196
claude-3-haiku-20240307	0.9	0.0186104780777047	0.0239521702640282	0.9813895219222952
claude-3-haiku-20240307	0.1	0.0447184114012908	0.0723279833516155	0.9552815885987092
claude-3-7-sonnet-20250219	0.7	0.0352278339130448	0.0546897091532092	0.9647721660869552
claude-3-7-sonnet-20250219	0.4	0.0440864690956963	0.0670602837699882	0.9559135309043036
claude-3-7-sonnet-20250219	0.9	0.0254385444327068	0.0407724947704128	0.9745614555672932
claude-3-7-sonnet-20250219	0.1	0.0795985212461656	0.1388056685110007	0.9204014787538344
DeepSeek-R1	0.7	0.0166847173816489	0.0325734162529876	0.9833152826183512
DeepSeek-R1	0.4	0.0248267136862916	0.0422980658804003	0.9751732863137084
DeepSeek-R1	0.9	0.0141742341036891	0.0272911478058558	0.9858257658963108
DeepSeek-R1	0.1	0.021621660597287	0.0407543788112215	0.9783783394027128
DeepSeek-V3	0.7	0.0336166845902508	0.0492638497576386	0.9663833154097492
DeepSeek-V3	0.4	0.0415867365753706	0.064906588018288	0.9584132634246294
