Unnamed: 0	Q1reason	Q2reason	Q3reason	Q4reason
t1_maximum	109.785	97.184	87.088	94.294
t1_minimum	109.785	97.184	87.088	94.294
t1_mean	109.785	97.184	87.088	94.294
t1_std_dev	0.0	0.0	0.0	0.0
t1_median	109.785	97.184	87.088	94.294
t1_skewness				
t1_kurtosis				
t2_maximum	123.294	112.419	99.957	117.018
t2_minimum	123.294	112.419	99.957	117.018
t2_mean	123.294	112.419	99.957	117.018
t2_std_dev	0.0	0.0	0.0	0.0
t2_median	123.294	112.419	99.957	117.018
t2_skewness				
t2_kurtosis				
t3_maximum	114.59	115.761	119.466	116.996
t3_minimum	114.59	115.761	119.466	116.996
t3_mean	114.59	115.761	119.466	116.996
t3_std_dev	0.0	0.0	0.0	0.0
t3_median	114.59	115.761	119.466	116.996
t3_skewness				
t3_kurtosis				
